0.355	3.587
0.397	3.521
0.419	3.486
0.885	2.737
0.965	2.609
0.831	2.824
0.894	2.723
0.123	3.960
0.032	4.106
0.937	2.654
0.590	3.211
0.134	3.944
0.486	3.378
0.295	3.685
0.436	3.457
0.758	2.941
0.238	3.775
0.887	2.734
0.302	3.673
0.861	2.776
0.876	2.751
0.648	3.117
0.267	3.729
0.259	3.743
0.433	3.464
0.237	3.778
0.859	2.779
0.249	3.758
0.351	3.594
0.126	3.956
0.101	3.995
0.217	3.810
0.872	2.758
0.352	3.594
0.725	2.994
0.109	3.984
0.180	3.868
0.831	2.825
0.906	2.703
0.609	3.181
0.849	2.795
0.964	2.611
0.459	3.421
0.708	3.021
0.277	3.713
0.372	3.560
0.493	3.366
0.975	2.593
0.075	4.038
0.995	2.561
