0.094	4.499
0.740	3.622
0.378	4.114
0.275	4.254
0.409	4.071
0.346	4.157
0.624	3.780
0.137	4.442
0.772	3.578
0.614	3.793
0.105	4.485
0.059	4.548
0.116	4.470
0.074	4.527
0.962	3.320
0.280	4.247
0.306	4.212
0.056	4.552
0.197	4.360
0.043	4.569
0.156	4.416
0.461	4.001
0.837	3.490
0.214	4.336
0.864	3.453
0.175	4.390
0.237	4.306
0.420	4.057
0.466	3.994
0.735	3.628
0.372	4.123
0.595	3.819
0.787	3.558
0.616	3.790
0.685	3.696
0.093	4.501
0.178	4.386
0.505	3.942
0.299	4.221
0.527	3.911
0.238	4.304
0.238	4.304
0.157	4.414
0.331	4.178
0.615	3.792
0.658	3.733
0.003	4.624
0.632	3.768
0.946	3.341
0.492	3.959
